feature,importance,fold
NAME_INCOME_TYPE_State_servant,0.0019234121,1
NAME_INCOME_TYPE_Student,0.0,1
NAME_INCOME_TYPE_Unemployed,0.0,1
NAME_INCOME_TYPE_Working,0.00277707,1
NAME_INCOME_TYPE_nan,0.0,1
NAME_EDUCATION_TYPE_Higher_education,0.007655184,1
NAME_EDUCATION_TYPE_Incomplete_higher,0.0017707259,1
NAME_EDUCATION_TYPE_Lower_secondary,0.0018877411,1
NAME_EDUCATION_TYPE_Secondary___secondary_special,0.0037509582,1
NAME_EDUCATION_TYPE_nan,0.0,1
NAME_FAMILY_STATUS_Married,0.003098921,1
NAME_FAMILY_STATUS_Separated,0.0015878968,1
NAME_FAMILY_STATUS_Single___not_married,0.0016911345,1
NAME_FAMILY_STATUS_Unknown,0.0,1
NAME_FAMILY_STATUS_Widow,0.001672053,1
NAME_FAMILY_STATUS_nan,0.0,1
NAME_HOUSING_TYPE_House___apartment,0.0018184003,1
NAME_HOUSING_TYPE_Municipal_apartment,0.0023022392,1
NAME_HOUSING_TYPE_Office_apartment,0.0018967338,1
NAME_HOUSING_TYPE_Rented_apartment,0.0017059362,1
NAME_HOUSING_TYPE_With_parents,0.0018343368,1
NAME_HOUSING_TYPE_nan,0.0,1
OCCUPATION_TYPE_Cleaning_staff,0.0019939623,1
OCCUPATION_TYPE_Cooking_staff,0.0016039537,1
OCCUPATION_TYPE_Core_staff,0.002517034,1
OCCUPATION_TYPE_Drivers,0.0024075247,1
OCCUPATION_TYPE_HR_staff,0.00073680707,1
OCCUPATION_TYPE_High_skill_tech_staff,0.0015758477,1
OCCUPATION_TYPE_IT_staff,0.0013512209,1
OCCUPATION_TYPE_Laborers,0.0019821203,1
OCCUPATION_TYPE_Low_skill_Laborers,0.0019918338,1
OCCUPATION_TYPE_Managers,0.0016973697,1
OCCUPATION_TYPE_Medicine_staff,0.00192353,1
OCCUPATION_TYPE_Private_service_staff,0.0015659509,1
OCCUPATION_TYPE_Realty_agents,0.001180627,1
OCCUPATION_TYPE_Sales_staff,0.0017139616,1
OCCUPATION_TYPE_Secretaries,0.0021225126,1
OCCUPATION_TYPE_Security_staff,0.0018042872,1
OCCUPATION_TYPE_Waiters_barmen_staff,0.001936327,1
OCCUPATION_TYPE_nan,0.0016198951,1
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0015784183,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0016277565,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0017954119,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0015566556,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0016317464,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0016834566,1
WEEKDAY_APPR_PROCESS_START_nan,0.0,1
ORGANIZATION_TYPE_Agriculture,0.0014591468,1
ORGANIZATION_TYPE_Bank,0.0024931857,1
ORGANIZATION_TYPE_Business_Entity_Type_1,0.001722737,1
ORGANIZATION_TYPE_Business_Entity_Type_2,0.0016537709,1
ORGANIZATION_TYPE_Business_Entity_Type_3,0.0017596863,1
ORGANIZATION_TYPE_Cleaning,0.0017042418,1
ORGANIZATION_TYPE_Construction,0.0025713963,1
ORGANIZATION_TYPE_Culture,0.0010636963,1
ORGANIZATION_TYPE_Electricity,0.0011455927,1
ORGANIZATION_TYPE_Emergency,0.0010481861,1
ORGANIZATION_TYPE_Government,0.0017434396,1
ORGANIZATION_TYPE_Hotel,0.0017238396,1
ORGANIZATION_TYPE_Housing,0.0014476889,1
ORGANIZATION_TYPE_Industry__type_1,0.0013586256,1
ORGANIZATION_TYPE_Industry__type_10,0.00092640147,1
ORGANIZATION_TYPE_Industry__type_11,0.0017671788,1
ORGANIZATION_TYPE_Industry__type_12,0.0012268763,1
ORGANIZATION_TYPE_Industry__type_13,0.0006719946,1
ORGANIZATION_TYPE_Industry__type_2,0.0013880013,1
ORGANIZATION_TYPE_Industry__type_3,0.0020290005,1
ORGANIZATION_TYPE_Industry__type_4,0.0020365454,1
ORGANIZATION_TYPE_Industry__type_5,0.0014736346,1
ORGANIZATION_TYPE_Industry__type_6,0.00064046646,1
ORGANIZATION_TYPE_Industry__type_7,0.0012504943,1
ORGANIZATION_TYPE_Industry__type_8,0.0,1
ORGANIZATION_TYPE_Industry__type_9,0.0021416654,1
ORGANIZATION_TYPE_Insurance,0.00091844046,1
ORGANIZATION_TYPE_Kindergarten,0.0017297693,1
ORGANIZATION_TYPE_Legal_Services,0.0017475078,1
ORGANIZATION_TYPE_Medicine,0.0017396602,1
ORGANIZATION_TYPE_Military,0.002971537,1
ORGANIZATION_TYPE_Mobile,0.0016226885,1
ORGANIZATION_TYPE_Other,0.0015468906,1
ORGANIZATION_TYPE_Police,0.0020169446,1
ORGANIZATION_TYPE_Postal,0.0018366078,1
ORGANIZATION_TYPE_Realtor,0.002022474,1
ORGANIZATION_TYPE_Religion,0.0,1
ORGANIZATION_TYPE_Restaurant,0.0017839279,1
ORGANIZATION_TYPE_School,0.0022024154,1
ORGANIZATION_TYPE_Security,0.0015892436,1
ORGANIZATION_TYPE_Security_Ministries,0.0014682313,1
ORGANIZATION_TYPE_Self_employed,0.0023433224,1
ORGANIZATION_TYPE_Services,0.0017190257,1
ORGANIZATION_TYPE_Telecom,0.001738206,1
ORGANIZATION_TYPE_Trade__type_1,0.001078342,1
ORGANIZATION_TYPE_Trade__type_2,0.0017420315,1
ORGANIZATION_TYPE_Trade__type_3,0.0018456574,1
ORGANIZATION_TYPE_Trade__type_4,0.0006493566,1
ORGANIZATION_TYPE_Trade__type_5,0.00036205474,1
ORGANIZATION_TYPE_Trade__type_6,0.001177292,1
ORGANIZATION_TYPE_Trade__type_7,0.0018608596,1
ORGANIZATION_TYPE_Transport__type_1,0.0010082817,1
ORGANIZATION_TYPE_Transport__type_2,0.0015255471,1
ORGANIZATION_TYPE_Transport__type_3,0.0034272112,1
ORGANIZATION_TYPE_Transport__type_4,0.0019187361,1
ORGANIZATION_TYPE_University,0.0011688963,1
ORGANIZATION_TYPE_XNA,0.0019815608,1
ORGANIZATION_TYPE_nan,0.0,1
FONDKAPREMONT_MODE_org_spec_account,0.0017950335,1
FONDKAPREMONT_MODE_reg_oper_account,0.0015284178,1
FONDKAPREMONT_MODE_reg_oper_spec_account,0.0017316882,1
FONDKAPREMONT_MODE_nan,0.0015289473,1
HOUSETYPE_MODE_specific_housing,0.0022320559,1
HOUSETYPE_MODE_terraced_house,0.0013017196,1
HOUSETYPE_MODE_nan,0.0013823578,1
WALLSMATERIAL_MODE_Mixed,0.0018273599,1
WALLSMATERIAL_MODE_Monolithic,0.0012997646,1
WALLSMATERIAL_MODE_Others,0.0020218187,1
WALLSMATERIAL_MODE_Panel,0.0017038424,1
WALLSMATERIAL_MODE_Stone__brick,0.001527681,1
WALLSMATERIAL_MODE_Wooden,0.0016136308,1
WALLSMATERIAL_MODE_nan,0.0014749215,1
EMERGENCYSTATE_MODE_Yes,0.0015538263,1
EMERGENCYSTATE_MODE_nan,0.0014386699,1
ORIG_NAME_INCOME_TYPE_Commercial_associate,0.0014220725,1
ORIG_NAME_INCOME_TYPE_Maternity_leave,0.0,1
ORIG_NAME_INCOME_TYPE_Pensioner,0.0,1
ORIG_NAME_INCOME_TYPE_State_servant,0.002868069,1
ORIG_NAME_INCOME_TYPE_Student,0.0,1
ORIG_NAME_INCOME_TYPE_Unemployed,0.0,1
ORIG_NAME_INCOME_TYPE_Working,0.0017678197,1
ORIG_NAME_INCOME_TYPE_nan,0.0,1
BUREAU_DAYS_CREDIT_MIN,0.0016798438,1
BUREAU_DAYS_CREDIT_MAX,0.0020329058,1
BUREAU_DAYS_CREDIT_MEAN,0.0023503192,1
BUREAU_DAYS_CREDIT_STD,0.001718771,1
BUREAU_DAYS_CREDIT_COUNT,0.0018080996,1
BUREAU_DAYS_CREDIT_ENDDATE_MIN,0.0016858779,1
BUREAU_DAYS_CREDIT_ENDDATE_MAX,0.0018918233,1
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.0017842115,1
BUREAU_DAYS_CREDIT_UPDATE_MIN,0.001724546,1
BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.0017213125,1
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.0016288109,1
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.0021316295,1
BUREAU_CREDIT_DAY_OVERDUE_SUM,0.0019684257,1
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,0.0020062719,1
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,0.002045274,1
BUREAU_AMT_CREDIT_SUM_MAX,0.0019837697,1
BUREAU_AMT_CREDIT_SUM_MEAN,0.0017452842,1
BUREAU_AMT_CREDIT_SUM_SUM,0.0019379504,1
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,0.0017242329,1
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.0019705216,1
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.002003188,1
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.0040131183,1
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.002726975,1
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.0032022719,1
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.0016639789,1
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,0.0019369107,1
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.0020322686,1
BUREAU_AMT_ANNUITY_MAX,0.0016157585,1
BUREAU_AMT_ANNUITY_MEAN,0.00166487,1
BUREAU_AMT_ANNUITY_SUM,0.0017213002,1
BUREAU_CNT_CREDIT_PROLONG_MAX,0.0013658552,1
BUREAU_CNT_CREDIT_PROLONG_MEAN,0.0017720006,1
BUREAU_CNT_CREDIT_PROLONG_SUM,0.001685726,1
BUREAU_BB_MONTHS_BALANCE_MIN_MIN,0.0017369153,1
BUREAU_BB_MONTHS_BALANCE_MIN_MAX,0.0017988839,1
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,0.0018121517,1
BUREAU_BB_MONTHS_BALANCE_MAX_MIN,0.0017648585,1
BUREAU_BB_MONTHS_BALANCE_MAX_MAX,0.0017792856,1
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,0.0017881137,1
BUREAU_BB_MONTHS_BALANCE_SIZE_MIN,0.0017690065,1
BUREAU_BB_MONTHS_BALANCE_SIZE_MAX,0.0017023269,1
BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN,0.0018172612,1
BUREAU_BB_MONTHS_BALANCE_SIZE_SUM,0.00178503,1
BUREAU_BB_MONTHS_BALANCE_MEAN_MIN,0.001703769,1
BUREAU_BB_MONTHS_BALANCE_MEAN_MAX,0.0019709782,1
BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,0.0016686516,1
BUREAU_BB_STATUS_NUNIQUE_MIN,0.0,1
BUREAU_BB_STATUS_NUNIQUE_MAX,0.0,1
BUREAU_BB_STATUS_NUNIQUE_MEAN,0.0,1
CLOSED_DAYS_CREDIT_MIN,0.0017717958,1
CLOSED_DAYS_CREDIT_MAX,0.0017555289,1
CLOSED_DAYS_CREDIT_MEAN,0.0017232739,1
CLOSED_DAYS_CREDIT_COUNT,0.001727537,1
CLOSED_AMT_CREDIT_SUM_MAX,0.0019306176,1
CLOSED_AMT_CREDIT_SUM_MEAN,0.0018586213,1
CLOSED_AMT_CREDIT_SUM_SUM,0.0018996106,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0023103266,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0024248608,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,0.0022557015,1
PREV_SK_ID_PREV_NUNIQUE,0.0016050746,1
PREV_SK_ID_PREV_COUNT,0.0015377314,1
PREV_AMT_ANNUITY_MIN,0.0017639822,1
PREV_AMT_ANNUITY_MAX,0.001753305,1
PREV_AMT_ANNUITY_MEAN,0.001743978,1
PREV_AMT_ANNUITY_SUM,0.0017122336,1
PREV_AMT_APPLICATION_MIN,0.0016839656,1
PREV_AMT_APPLICATION_MAX,0.0016605079,1
PREV_AMT_APPLICATION_MEAN,0.0017172075,1
PREV_AMT_APPLICATION_SUM,0.0016872104,1
PREV_AMT_CREDIT_MIN,0.001651474,1
PREV_AMT_CREDIT_MAX,0.0017339352,1
PREV_AMT_CREDIT_MEAN,0.001709286,1
PREV_AMT_CREDIT_SUM,0.001678797,1
PREV_APP_CREDIT_RATIO_MIN,0.0016314032,1
PREV_APP_CREDIT_RATIO_MAX,0.0018720124,1
PREV_APP_CREDIT_RATIO_MEAN,0.0017056881,1
PREV_APP_CREDIT_RATIO_VAR,0.0016339311,1
PREV_AMT_DOWN_PAYMENT_MIN,0.0016977641,1
PREV_AMT_DOWN_PAYMENT_MAX,0.001897178,1
PREV_AMT_DOWN_PAYMENT_MEAN,0.0016974739,1
PREV_AMT_DOWN_PAYMENT_SUM,0.0021518068,1
PREV_AMT_GOODS_PRICE_MIN,0.0016680014,1
PREV_AMT_GOODS_PRICE_MAX,0.0017218419,1
PREV_AMT_GOODS_PRICE_MEAN,0.0016606158,1
PREV_AMT_GOODS_PRICE_SUM,0.0017817519,1
PREV_CREDIT_TO_GOODS_RATIO_MIN,0.0017077336,1
PREV_CREDIT_TO_GOODS_RATIO_MAX,0.0023484712,1
PREV_CREDIT_TO_GOODS_RATIO_MEAN,0.0017131662,1
PREV_CREDIT_TO_GOODS_RATIO_VAR,0.0017113367,1
PREV_HOUR_APPR_PROCESS_START_MIN,0.0015974405,1
PREV_HOUR_APPR_PROCESS_START_MAX,0.001673751,1
PREV_HOUR_APPR_PROCESS_START_MEAN,0.0016915068,1
PREV_DAYS_DECISION_MIN,0.001724013,1
PREV_DAYS_DECISION_MAX,0.0017180927,1
PREV_DAYS_DECISION_MEAN,0.0017174181,1
PREV_CNT_PAYMENT_MIN,0.0015783595,1
PREV_CNT_PAYMENT_MAX,0.0024035838,1
PREV_CNT_PAYMENT_MEAN,0.0019976778,1
PREV_CNT_PAYMENT_SUM,0.0017160958,1
REFUSED_SK_ID_PREV_NUNIQUE,0.0033642133,1
REFUSED_SK_ID_PREV_COUNT,0.003344862,1
REFUSED_AMT_CREDIT_MIN,0.0017321423,1
REFUSED_AMT_CREDIT_MAX,0.0020521556,1
REFUSED_AMT_CREDIT_MEAN,0.0017661328,1
REFUSED_AMT_CREDIT_SUM,0.002027307,1
REFUSED_AMT_APPLICATION_MIN,0.0016562791,1
REFUSED_AMT_APPLICATION_MAX,0.0021198213,1
REFUSED_AMT_APPLICATION_MEAN,0.0017846322,1
REFUSED_AMT_APPLICATION_SUM,0.0021170846,1
POS_SK_ID_PREV_NUNIQUE,0.0028082968,1
POS_SK_ID_PREV_COUNT,0.0022876805,1
POS_MONTHS_BALANCE_MIN,0.00187791,1
POS_MONTHS_BALANCE_MAX,0.002133476,1
POS_MONTHS_BALANCE_MEAN,0.0017261885,1
POS_MONTHS_BALANCE_SIZE,0.002353036,1
POS_CNT_INSTALMENT_MIN,0.0016567712,1
POS_CNT_INSTALMENT_MAX,0.0022378822,1
POS_CNT_INSTALMENT_MEAN,0.0017589497,1
POS_CNT_INSTALMENT_SUM,0.0017374678,1
POS_CNT_INSTALMENT_FUTURE_MIN,0.00172802,1
POS_CNT_INSTALMENT_FUTURE_MAX,0.0026608272,1
POS_CNT_INSTALMENT_FUTURE_MEAN,0.002268676,1
POS_CNT_INSTALMENT_FUTURE_SUM,0.0016933194,1
POS_SK_DPD_MAX,0.0016732722,1
POS_SK_DPD_MEAN,0.0018146022,1
POS_SK_DPD_SUM,0.0018167498,1
POS_SK_DPD_DEF_MAX,0.0017603156,1
POS_SK_DPD_DEF_MEAN,0.0028151672,1
POS_SK_DPD_DEF_SUM,0.0018402087,1
POS_LATEST_SK_ID_PREV_COUNT,0.0028359492,1
POS_LATEST_CNT_INSTALMENT_MIN,0.0016670716,1
POS_LATEST_CNT_INSTALMENT_MAX,0.0017736002,1
POS_LATEST_CNT_INSTALMENT_MEAN,0.0016905887,1
POS_LATEST_CNT_INSTALMENT_SUM,0.001823348,1
POS_LATEST_CNT_INSTALMENT_FUTURE_MIN,0.0016447941,1
POS_LATEST_CNT_INSTALMENT_FUTURE_MAX,0.0022116161,1
POS_LATEST_CNT_INSTALMENT_FUTURE_MEAN,0.0023769867,1
POS_LATEST_CNT_INSTALMENT_FUTURE_SUM,0.0022253396,1
POS_LATEST_SK_DPD_MAX,0.0033435426,1
POS_LATEST_SK_DPD_MEAN,0.0030165948,1
POS_LATEST_SK_DPD_DEF_MAX,0.004914289,1
POS_LATEST_SK_DPD_DEF_MEAN,0.002780414,1
INST_SK_ID_PREV_NUNIQUE,0.0017714157,1
INST_SK_ID_PREV_COUNT,0.0018335914,1
INST_NUM_INSTALMENT_VERSION_NUNIQUE,0.001820841,1
INST_NUM_INSTALMENT_VERSION_MAX,0.0019326675,1
INST_DAYS_INSTALMENT_MIN,0.0021094715,1
INST_DAYS_INSTALMENT_MAX,0.0018019655,1
INST_DAYS_INSTALMENT_MEAN,0.0017996612,1
INST_DAYS_ENTRY_PAYMENT_MIN,0.0022571173,1
INST_DAYS_ENTRY_PAYMENT_MAX,0.0018779523,1
INST_DAYS_ENTRY_PAYMENT_MEAN,0.0018466398,1
INST_AMT_INSTALMENT_MIN,0.0017675586,1
INST_AMT_INSTALMENT_MAX,0.0017954442,1
INST_AMT_INSTALMENT_MEAN,0.001707264,1
INST_AMT_INSTALMENT_SUM,0.0019282706,1
INST_AMT_PAYMENT_MIN,0.0016989417,1
INST_AMT_PAYMENT_MAX,0.0019261278,1
INST_AMT_PAYMENT_MEAN,0.0019265349,1
INST_AMT_PAYMENT_SUM,0.0027288266,1
INST_PAYMENT_RATIO_MIN,0.001681495,1
INST_PAYMENT_RATIO_MAX,0.0018039633,1
INST_PAYMENT_RATIO_MEAN,0.0018960126,1
INST_PAYMENT_RATIO_VAR,0.0016190851,1
INST_PAYMENT_DIFF_MIN,0.0018025195,1
INST_PAYMENT_DIFF_MAX,0.001759191,1
INST_PAYMENT_DIFF_MEAN,0.0024772913,1
INST_PAYMENT_DIFF_SUM,0.00190583,1
INST_DAYS_LATE_MAX,0.0017730275,1
INST_DAYS_LATE_MEAN,0.0029748918,1
INST_DAYS_LATE_SUM,0.0017447018,1
INST_DAYS_EARLY_MAX,0.0016390778,1
INST_DAYS_EARLY_MEAN,0.0016684805,1
INST_DAYS_EARLY_SUM,0.0018481571,1
LATE_SK_ID_PREV_NUNIQUE,0.0019143943,1
LATE_SK_ID_PREV_COUNT,0.0017631256,1
LATE_DAYS_LATE_MAX,0.0017238127,1
LATE_DAYS_LATE_MEAN,0.0017859072,1
LATE_DAYS_LATE_SUM,0.001632795,1
LATE_AMT_PAYMENT_MIN,0.0017236939,1
LATE_AMT_PAYMENT_MAX,0.002165423,1
LATE_AMT_PAYMENT_MEAN,0.0019767042,1
LATE_AMT_PAYMENT_SUM,0.0020257693,1
CC_SK_ID_PREV_NUNIQUE,0.0015711975,1
CC_SK_ID_PREV_COUNT,0.0017106958,1
CC_MONTHS_BALANCE_MIN,0.0019275986,1
CC_MONTHS_BALANCE_MAX,0.0016954954,1
CC_MONTHS_BALANCE_SIZE,0.0015514276,1
CC_MONTHS_BALANCE_MEAN,0.0016885828,1
CC_AMT_BALANCE_MIN,0.0021712596,1
CC_AMT_BALANCE_MAX,0.0018362367,1
CC_AMT_BALANCE_MEAN,0.0017132036,1
CC_AMT_BALANCE_SUM,0.0015569449,1
CC_AMT_BALANCE_VAR,0.0018153021,1
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.0017322003,1
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.0017290105,1
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.0019191424,1
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,0.0017834423,1
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0.0012301224,1
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.0017495322,1
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,0.0021564541,1
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.0018898088,1
CC_AMT_DRAWINGS_CURRENT_MIN,0.0012537,1
CC_AMT_DRAWINGS_CURRENT_MAX,0.0016296151,1
CC_AMT_DRAWINGS_CURRENT_MEAN,0.0016961504,1
